P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
CoRoT-18 b,CoRoT-18,Transit,1.9000693,0.0286,14.022,1039.3041,2.07,,1490,86.8,5440,0.92,0.86
CoRoT-18 b,CoRoT-18,Transit,1.9000693,0.0295,14.68,1102.82,2.2,0.08,1550,86.5,5440,1,0.95
CoRoT-19 b,CoRoT-19,Transit,3.89713,0.0512,13.339,346.4347,0.798,,1630,89.7,6090,1.58,1.18
CoRoT-19 b,CoRoT-19,Transit,3.8971379,,,,,,,88,6090,1.65,1.21
CoRoT-19 b,CoRoT-19,Transit,3.89713,0.0518,14.46,352.78,0.71,0.047,2000,88,6090,1.65,1.21
CoRoT-19 b,CoRoT-19,Transit,3.89712026,,13.493,,,,1470,,6090,1.64,
CoRoT-19 b,CoRoT-19,Transit,3.89713,0.05166,14.46,367.09365,0.668,0.056,,88,6090,1.65,1.21
CoRoT-19 b,CoRoT-19,Transit,3.897131,,,,,,,,6090,1.65,1.21
CoRoT-2 b,CoRoT-2,Transit,1.7429964,0.0281,16.421,1051.973,,0,,87.84,,,
CoRoT-2 b,CoRoT-2,Transit,1.7429975,,15.85,1052.0173,1.553,0,1535,88.07,5625,0.9,0.97
CoRoT-2 b,CoRoT-2,Transit,1.74299673,0.0281,16.432,1048.839,1.3,0.024,,88.08,5625,0.9,0.97
CoRoT-2 b,CoRoT-2,Transit,1.74301433,,16.923,,,,1410,,5529,0.94,
CoRoT-2 b,CoRoT-2,Transit,1.7429935,0.02835,16.365,1134.6531,1.427,,1521,87.45,5598,0.9,1
CoRoT-2 b,CoRoT-2,Transit,1.742997,,,,,,,,5696,,
CoRoT-2 b,CoRoT-2,Transit,1.7429935,0.02798,16.432,1102.82,1.47,0.0143,,88.08,5625,0.91,0.96
CoRoT-2 b,CoRoT-2,Transit,1.7429935,0.02854,16.477,1150.5446,1.418,,1548,87.45,5696,0.91,1.02
CoRoT-2 b,CoRoT-2,Transit,1.74299673,,,,,,,,5529,0.94,0.97
CoRoT-2 b,CoRoT-2,Transit,1.74299609,,16.533,,,,,88.27,5575,,
CoRoT-2 b,CoRoT-2,Transit,1.74299906,,,,,,,,,,
CoRoT-2 b,CoRoT-2,Transit,1.74299705,,,,,,,87.84,5696,,
CoRoT-20 b,CoRoT-20,Transit,9.24318,0.0891,11.209,1315.8162,5.2,,1024,85.9,,1.16,1.1
CoRoT-20 b,CoRoT-20,Transit,9.24285,0.0902,9.42,1347.54,8.87,0.562,1002,88.21,5880,1.02,1.14
CoRoT-20 b,CoRoT-20,Transit,9.24285,0.0892,13.002,1608.2198,4,,1100,83.5,5880,1.34,1.11
CoRoT-20 b,CoRoT-20,Transit,9.24323029,,15.397,,,,935,,5880,1.3,
CoRoT-20 b,CoRoT-20,Transit,9.24285,0.09,,1366.669,,0.59,,88.21,,,1.14
CoRoT-20 b,CoRoT-20,Transit,9.24285,0.0901,9.416,1344.4209,8.9,0.575,,88.21,5880,1.02,1.14
CoRoT-20 c,CoRoT-20,Radial Velocity,1675,2.9,,,,0.6,,,,,1.14
CoRoT-21 b,CoRoT-21,Transit,2.72474,0.0417,14.572,718.2958,1.36,0,,86.8,6200,1.95,1.29
CoRoT-21 b,CoRoT-21,Transit,2.72474,0.0416,14.572,705.5826,1.24,0.39,,86.8,6200,1.95,1.29
CoRoT-22 b,CoRoT-22,Transit,9.75598,0.092,4.88,12.2,0.249,0.077,885,89.749,5939,1.14,1.1
CoRoT-23 b,CoRoT-23,Transit,3.6313,0.04809,13.227,972.5598,2.3275,,1710,84.7,5900,1.74,1.12
CoRoT-23 b,CoRoT-23,Transit,3.6313,0.048,11.77,889.9,3,0.16,1660,85.7,5900,1.61,1.14
CoRoT-23 b,CoRoT-23,Transit,3.6313,0.0484,11.769,982.0947,3.3,0.16,,85.7,5900,1.61,1.14
CoRoT-24 b,CoRoT-24,Transit,5.1134,0.056,3.7,5.7,0.9,0,1070,86.5,4950,0.86,0.91
CoRoT-24 c,CoRoT-24,Transit,11.759,0.098,5,28,1.3,0,850,89,4950,0.86,0.91
CoRoT-25 b,CoRoT-25,Transit,4.86069,0.0578,12.11,85.81,0.15,0,1330,84.5,6040,1.19,1.09
CoRoT-25 b,CoRoT-25,Transit,4.86069,0.05789,12.106,93.12419,0.24,0.22,,84.5,6040,1.19,1.09
CoRoT-26 b,CoRoT-26,Transit,4.20474,0.0526,14.12,165.26,0.28,0,1600,86.8,5590,1.79,1.09
CoRoT-26 b,CoRoT-26,Transit,4.20474,0.0525,14.123,184.3414,0.36,0.41,,86.8,5590,1.79,1.09
CoRoT-27 b,CoRoT-27,Transit,3.57532,0.0476,11.287,3302.11,12.6,0.065,1500,86.7,5900,1.08,1.05
CoRoT-27 b,CoRoT-27,Transit,3.57532,0.0467,11.287,3273.649,12.5,0.034,,86.7,5900,1.08,1.05
CoRoT-28 b,CoRoT-28,Transit,5.20851,0.059,10.705,152.87623,0.68,0.071,,88.1,5150,1.78,1.01
CoRoT-28 b,CoRoT-28,Transit,5.20851,0.0603,10.705,153.82972,0.69,0.047,,88.1,5150,1.78,1.01
CoRoT-29 b,CoRoT-29,Transit,2.85057,0.0386,10.088,270.1555,1.45,0.082,,87.3,5260,0.9,0.97
CoRoT-29 b,CoRoT-29,Transit,2.8505615,,,,,,,85.8,5268,1.08,0.9
CoRoT-29 b,CoRoT-29,Transit,2.85057,0.039,10.088,266.9772,1.44,0.12,,87.3,5260,0.9,0.97
CoRoT-3 b,CoRoT-3,Transit,4.2567994,0.05694,11.135,6747.5309,,0.008,,86.1,,1.54,1.36
CoRoT-3 b,CoRoT-3,Transit,,,,,,,,,6558,1.44,1.41
CoRoT-3 b,CoRoT-3,Transit,4.2567994,0.05783,11.624,6979.5468,24.5,,1695,85.8,6740,1.57,1.4
CoRoT-3 b,CoRoT-3,Transit,4.2567994,0.0574,11.321,6814.2752,25.9,0.016,,85.9,6740,1.56,1.37
CoRoT-3 b,CoRoT-3,Transit,4.2568,,11.32,6883.91,26.4,0,,85.9,6740,1.56,1.37
CoRoT-30 b,CoRoT-30,Transit,9.06005,0.0844,11.31,921.707,3.45,0.007,,90,5650,0.91,0.98
CoRoT-31 b,CoRoT-31,Transit,4.62941,0.0586,16.365,266.9772,0.33,0.02,,83.2,5700,2.15,1.25
CoRoT-35 b,CoRoT-35,Transit,3.22748,0.0429,18.831,349.61125,0.29,0,1747,84.1,6390,1.65,1.01
CoRoT-36 b,CoRoT-36,Transit,5.616531,0.066,15.805,216.12332,0.25,0,1567,85.83,6730,1.52,1.32
CoRoT-4 b,CoRoT-4,Transit,9.20205,0.09025,13.339,223.43449,0.517,0.14,,90,6190,1.17,1.16
CoRoT-4 b,CoRoT-4,Transit,9.20205,0.09,13.34,228.83,0.525,0,1074,90,6190,1.17,1.16
CoRoT-4 b,CoRoT-4,Transit,9.20164964,,13.437,,,,964,,6190,1.12,
CoRoT-4 b,CoRoT-4,Transit,9.20205,0.0912,13.002,232.33373,0.583,,1058,89.96,6190,1.15,1.19
CoRoT-5 b,CoRoT-5,Transit,4.0378962,0.05004,13.249,149.3801,0.354,,1348,86.24,6100,1.05,1.02
CoRoT-5 b,CoRoT-5,Transit,4.03790124,,18.383,,,,1351,,6100,1.27,
CoRoT-5 b,CoRoT-5,Transit,4.0378962,0.04947,15.558,148.42,0.217,0.09,1438,85.83,6100,1.19,1
CoRoT-5 b,CoRoT-5,Transit,4.0379156,0.0495,14.079,145.88397,0.288,,1397,85.68,,1.11,0.99
CoRoT-5 b,CoRoT-5,Transit,4.0378962,0.04963,15.558,151.92274,0.221,0.087,,85.83,6100,1.19,1
CoRoT-5 b,CoRoT-5,Transit,4.0379156,,,,,,,,,,
CoRoT-6 b,CoRoT-6,Transit,8.886593,0.0855,13.068,940.74,2.32,0.1,1017,89.07,6090,1.02,1.05
CoRoT-6 b,CoRoT-6,Transit,8.886593,0.0855,13.283,940.7768,2.21,,1025,88.88,6090,1.04,1.05
CoRoT-6 b,CoRoT-6,Transit,8.886593,0.0854,13.07,937.5985,2.3,0.18,,89.07,6090,1.02,1.05
CoRoT-6 b,CoRoT-6,Transit,8.8866287,,,,,,,,,,
CoRoT-7 b,CoRoT-7,Transit,0.85359165,0.017,,4.73,6.61,0.12,,,5256,0.86,0.9
CoRoT-7 b,CoRoT-7,Transit,0.853585,0.017,,4.8,,0,,80,5256,0.86,0.9
CoRoT-7 b,CoRoT-7,Transit,0.85359163,,1.681,4.07661,,0,,80.1,5275,0.83,0.82
CoRoT-7 b,CoRoT-7,Transit,0.8535,,1.528,6.056,9.355,,,80.98,5250,,0.92
CoRoT-7 b,CoRoT-7,Transit,0.853585,0.0172,1.68,21,,,,80.1,5275,0.87,0.93
CoRoT-7 b,CoRoT-7,Transit,0.85359159,0.017016,1.585,5.74,7.5,0,1756,80.78,5259,0.82,0.91
CoRoT-7 b,CoRoT-7,Transit,0.853585,0.0169,1.861,6.99226,6,,1910,79.6,5250,0.96,0.88
CoRoT-7 b,CoRoT-7,Transit,0.854,,1.58,4.6,6.5,,,,5313,0.84,0.88
CoRoT-7 c,CoRoT-7,Radial Velocity,3.7,0.045,,13.56,,0.12,,,5256,0.86,0.9
CoRoT-7 c,CoRoT-7,Radial Velocity,3.697,,,13.289,,,,,5250,,0.92
CoRoT-7 c,CoRoT-7,Radial Velocity,3.698,0.046,,8.4,,0,,80,5256,0.86,0.9
CoRoT-7 d,CoRoT-7,Radial Velocity,8.966,,,17.142,,,,,5250,,0.92
CoRoT-8 b,CoRoT-8,Transit,6.21229,0.0633,7.981,68.65128,0.74,,922,87.44,5080,0.9,0.88
CoRoT-8 b,CoRoT-8,Transit,6.21229,0.063,6.39,69.92,1.6,0,,88.4,5080,0.77,0.88
CoRoT-8 b,CoRoT-8,Transit,6.212381,0.06339,6.389,69.28694,1.45,0.19,,88.4,5080,0.77,0.88
CoRoT-8 b,CoRoT-8,Transit,6.212445,0.0636,6.938,69.28694,1.1,,870,88.18,,0.8,0.89
CoRoT-9 b,CoRoT-9,Transit,95.272656,0.4021,11.949,266.9772,0.86,0.133,420,89.9,5625,0.96,0.96
CoRoT-9 b,CoRoT-9,Transit,95.272725,,,,,,,,,,
CoRoT-9 b,CoRoT-9,Transit,95.2738,0.4027,11.624,262.52758,0.92,,413,89.97,5625,0.94,0.96
CoRoT-9 b,CoRoT-9,Transit,95.272656,0.4029,11.949,268.88418,0.91,0.134,,89.9,5625,0.96,0.96
CoRoT-9 b,CoRoT-9,Transit,95.2738,0.407,11.77,266.97,0.9,0.11,,89.99,5625,0.94,0.99
CoRoTID 223977153 b,CoRoTID 223977153,Transit,6.71837,0.071,6.389,47.6745,1.1,,938,89,5970,0.79,1.08
CoRoTID 223977153 b,CoRoTID 223977153,Transit,6.7183678,,,,,,,,5970,0.79,1.08
DE CVn b,DE CVn,Eclipse Timing Variations,4098.1,5.75,,,,0,,86,,,0.51
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,246.36,0.36,,9057.77,,0.345,,56.6,,,0.07
DH Tau b,DH Tau,Imaging,,,30.264,3496.13,,,2200,,4371,1.37,0.68
DH Tau b,DH Tau,Imaging,,330,,3496,,,,,,0.27,0.33
DMPP-1 b,DMPP-1,Radial Velocity,18.57,0.1462,,,,0.083,877,,6196,1.26,1.21
DMPP-1 c,DMPP-1,Radial Velocity,6.584,0.0733,,,,0.057,1239,,6196,1.26,1.21
DMPP-1 d,DMPP-1,Radial Velocity,2.882,0.0422,,,,0.07,1632,,6196,1.26,1.21
DMPP-1 e,DMPP-1,Radial Velocity,5.516,0.0651,,,,0.07,1314,,6196,1.26,1.21
DMPP-2 b,DMPP-2,Radial Velocity,5.2072,0.0664,,,,0.078,1000,,6500,1.78,1.44
DMPP-3 A b,DMPP-3 A,Radial Velocity,6.6732,0.0662,,,,0.14,854,,5138,0.91,0.87
DMPP-3 A b,DMPP-3 A,Radial Velocity,6.6736,0.0662,,,,0,854,,,,
DMPP-4 b,DMPP-4,Radial Velocity,3.4982,0.04853,,,,0.063,,,6400,1.38,1.25
DP Leo b,DP Leo,Eclipse Timing Variations,8693,8.6,,1995.88832,,,,,,,
DP Leo b,DP Leo,Eclipse Timing Variations,10220,8.19,,,,0.39,,,,,0.69
DS Tuc A b,DS Tuc A,Transit,8.1387,,5.63,413.179,,,,88.83,5542,0.87,0.96
DS Tuc A b,DS Tuc A,Transit,8.138268,,5.7,,,0,850,89.5,5428,0.96,1.01
DS Tuc A b,DS Tuc A,Transit,8.13822434,,6.496,,,,837,,5414,0.95,
EPIC 201170410.02,EPIC 201170410,Transit,6.7987,0.0349,1.047,,,0,,89.002,3648,0.28,0.29
EPIC 201238110 b,EPIC 201238110,Transit,28.1696,,2.2,,,,,,,0.37,
EPIC 201238110 b,EPIC 201238110,Transit,28.1656,,1.87,,,,,,,,0.41
EPIC 201427007 b,EPIC 201427007,Transit,0.72091,,1.5,,,,,88.5,5633,0.94,
EPIC 201497682 b,EPIC 201497682,Transit,2.13174,,0.692,,,,,,,,0.78
EPIC 201595106 b,EPIC 201595106,Transit,0.87703,,1.2,,,,1874,,5711.17,0.99,1.02
EPIC 201595106 b,EPIC 201595106,Transit,0.877183,,1.406,,,,,84.701,5705,0.93,
EPIC 201595106 b,EPIC 201595106,Transit,0.877214,,1.3,,,,,89.2,5820,0.93,
EPIC 201615463 c,K2-166,Transit,3.80464,,1.22,,,,,,,,1.07
EPIC 201754305 d,K2-16,Transit,2.71578,,1.03,,,,,,,,0.67
EPIC 201757695.02,EPIC 201757695,Transit,2.0478,0.0296,0.908,,,0,,89.276,4520,0.66,0.73
EPIC 201833600 c,K2-50,Transit,3.96151,,1,,,,,,,,0.61
EPIC 201833600 c,K2-50,Transit,3.96165,,1.48,,,,,,,0.63,
EPIC 201841433 b,EPIC 201841433,Transit,4.1698,0.035,1.04,,,,,89.001,5053,0.63,0.8
EPIC 201841433 b,EPIC 201841433,Transit,4.16959,,1.1,,,,,,,,0.8
EPIC 201841433 b,EPIC 201841433,Transit,4.16888,,1.41,,,,,,,0.63,
EPIC 205950854 c,K2-168,Transit,8.050722,,1.31,,,,961,89.81,5502.7,0.83,0.88
EPIC 205950854 c,K2-168,Transit,8.0516,,1.62,,,,,,,0.9,
EPIC 205950854 c,K2-168,Transit,8.0468,,1.18,,,,,,,,0.91
EPIC 206024342 b,EPIC 206024342,Transit,4.50717,,1.44,,,,,,,0.82,
EPIC 206024342 b,EPIC 206024342,Transit,4.50756,,1.7,,,,,,,,0.93
EPIC 206024342 c,EPIC 206024342,Transit,0.911724,,1.4,,,,,91.7,5724,1.1,
EPIC 206024342 c,EPIC 206024342,Transit,0.9116567,,1.35,,,,,,5648,0.94,
EPIC 206024342 c,EPIC 206024342,Transit,0.911618,,1.16,,,,,,,0.82,
EPIC 206024342 d,EPIC 206024342,Transit,14.637,,4,,,,,,6438,1.5,
EPIC 206024342 d,EPIC 206024342,Transit,14.6435,,2.52,,,,,,,0.82,
EPIC 206024342 d,EPIC 206024342,Transit,14.647531,,2.6,,,,,90,5724,1.1,
EPIC 206024342 d,EPIC 206024342,Transit,14.641541,,2.94,,,,,,5648,0.94,
EPIC 206032309 b,EPIC 206032309,Transit,2.87814,,1.01,,,,,,,,0.22
EPIC 206042996 b,EPIC 206042996,Transit,5.29711,,1.62,,,,,,,,0.56
EPIC 206042996 b,EPIC 206042996,Transit,5.2986,,1.7,,,,,90.5,4114,0.5,
EPIC 206042996 b,EPIC 206042996,Transit,5.29853,,3.32,,,,,,,0.67,
EPIC 206042996 c,EPIC 206042996,Transit,0.354884,,1.2,,,,,89.9,4114,0.5,
EPIC 206042996 c,EPIC 206042996,Transit,0.35490972,,1.45,,,,,,3893,0.57,
EPIC 206215704 b,EPIC 206215704,Transit,2.255436,,1,,,,,89.9,3297,0.25,
EPIC 206215704 b,EPIC 206215704,Transit,2.25558,,2,,,,,,,0.37,
EPIC 206215704 b,EPIC 206215704,Transit,2.25372,,0.9,,,,,,,,0.41
EPIC 206317286 b,EPIC 206317286,Transit,1.58316,,1.22,,,,,,,0.67,
EPIC 206317286 b,EPIC 206317286,Transit,1.58252,,0.96,,,,,,,,0.71
EPIC 206317286 c,EPIC 206317286,Transit,17.501662,,2.63,,,,,,4749,0.73,
EPIC 206317286 c,EPIC 206317286,Transit,17.515472,,2.094,,,,,,4752,0.76,0.83
EPIC 206317286 c,EPIC 206317286,Transit,17.5125,,2.15,,,,,,,0.67,
EPIC 211822797 b,EPIC 211822797,Transit,21.169861,0.131,1.98,,,0.06,,89.73,4148.21,0.57,0.66
EPIC 211822797 b,EPIC 211822797,Transit,21.169619,,2.2,,,0.18,,89.5,3880,0.59,0.61
EPIC 211822797 b,EPIC 211822797,Transit,21.1701963,0.1195,1.92,,,,431,,4057,0.58,0.62
EPIC 211822797 b,EPIC 211822797,Transit,21.1686,,2.18,,,,,,,0.64,
EPIC 211822797 b,EPIC 211822797,Transit,21.17623917,,,,,,,,3811,0.6,0.59
EPIC 211822797 b,EPIC 211822797,Transit,21.1595,,,,,,,,3811,0.6,0.59
EPIC 211945201 b,EPIC 211945201,Transit,19.491795,,5.847,,,,,89.333,6046,1.41,
EPIC 211945201 b,EPIC 211945201,Transit,19.50735025,,,,,,,,6128,1.36,1.16
EPIC 211945201 b,EPIC 211945201,Transit,19.492132,,6,,,,,,,1.48,
EPIC 211945201 b,EPIC 211945201,Transit,19.49183,,5.96,,,,,,,1.4,
EPIC 211945201 b,EPIC 211945201,Transit,19.4921473,,5.507,,,,662,,6128,1.36,
EPIC 211945201 b,EPIC 211945201,Transit,19.49213,0.148,6.12,27,0.65,0,886,87.9,6025,1.38,1.18
EPIC 211945201 b,EPIC 211945201,Transit,19.49221,0.1493,5.76,,,,817,,6069,1.39,1.17
EPIC 211945201 b,EPIC 211945201,Transit,19.4921498,,,,,,,87.9,6025,1.38,1.18
EPIC 211945201 b,EPIC 211945201,Transit,19.491965,,6.8,,,,,,6320,1.49,
EPIC 211945201 b,EPIC 211945201,Transit,19.491,,,,,,,,6128,1.36,1.16
EPIC 212297394 b,EPIC 212297394,Transit,2.289363,,1.48,,,,1149,,5171,0.8,0.83
EPIC 212297394 b,EPIC 212297394,Transit,2.28896,,1.83,,,,,,,0.75,
EPIC 212297394 b,EPIC 212297394,Transit,2.28943,,1.323,,,,,,,,0.83
EPIC 212297394 c,EPIC 212297394,Transit,5.213,,,,,,,,5008,0.78,0.83
EPIC 212297394 c,EPIC 212297394,Transit,5.213965,,2.27,,,,866,,5171,0.8,0.83
EPIC 212297394 c,EPIC 212297394,Transit,5.21378,,2.29,,,,,,,0.75,
EPIC 212424622 b,EPIC 212424622,Transit,18.0983,,2.17,,,,,,,,1.11
EPIC 212424622 b,EPIC 212424622,Transit,18.0971,,2.21,,,,,,,1.22,
EPIC 212499991 b,EPIC 212499991,Transit,34.885,,1.6,,,,,,,,0.91
EPIC 212587672 b,EPIC 212587672,Transit,15.28078,,1.26,,,,756,,6004,0.98,0.99
EPIC 212587672 b,EPIC 212587672,Transit,15.2841,,1.39,,,,,,,0.98,
EPIC 212587672 b,EPIC 212587672,Transit,15.2841,,1.12,,,,,,,,0.95
EPIC 212587672 c,EPIC 212587672,Transit,23.2259,,2.31,,,,,,,0.98,
EPIC 212587672 c,EPIC 212587672,Transit,23.226001,,2.245,,,,,89.421,5928,0.95,
EPIC 212587672 c,EPIC 212587672,Transit,23.24110566,,,,,,,,6055,0.95,1.13
EPIC 212587672 c,EPIC 212587672,Transit,23.228555,,2.32,,,,658,,6004,0.98,0.99
EPIC 212587672 c,EPIC 212587672,Transit,23.226,,,,,,,,6055,0.95,1.13
EPIC 212587672 c,EPIC 212587672,Transit,23.226,,2.3,,,,,,,0.95,
EPIC 212624936 b,EPIC 212624936,Transit,0.578657,,1.2,,,,,90.3,5765,0.93,
EPIC 212624936 c,EPIC 212624936,Transit,11.811437,,2.3,,,,,90,5765,0.93,
EPIC 212624936 c,EPIC 212624936,Transit,11.81387,,2.67,,,,,,,0.95,
EPIC 212737443 b,EPIC 212737443,Transit,13.603,,,,,,,,4581,0.67,0.72
EPIC 212737443 b,EPIC 212737443,Transit,13.60697954,,,,,,,,4581,0.67,0.72
EPIC 212737443 b,EPIC 212737443,Transit,13.603,0.098,2.586,,,0.2,536,89.071,4684,0.67,0.69
EPIC 212737443 c,EPIC 212737443,Transit,65.55,0.28,2.69,,,0.2,316,89.63,4684,0.67,0.69
EPIC 220492298 b,EPIC 220492298,Transit,0.762406,,0.99,,,,,92.6,5620,0.89,
EPIC 220554210 c,K2-282,Transit,0.70531,,1.6,,,,,91.3,5499,1,
EPIC 220554210 c,K2-282,Transit,0.70531,,1.48,,,,,,,,0.94
EPIC 220554210 c,K2-282,Transit,0.705386,,1.73,,,,,,,1.01,
EPIC 220674823 b,EPIC 220674823,Transit,0.571336,0.01312,1.82,9,8.57,,2063,80.2,5496,0.95,0.92
EPIC 220674823 b,EPIC 220674823,Transit,0.571292,0.01326,1.725,8.21,8.77,0,2300,86.4,5532,0.99,0.95
EPIC 220674823 b,EPIC 220674823,Transit,0.571285,,1.816,,,,,,,1.02,
EPIC 220674823 b,EPIC 220674823,Transit,0.571212,,1.6,,,,,89.7,5613,0.95,
EPIC 220674823 b,EPIC 220674823,Transit,0.571299,,1.669,,,,,79.528,5590,0.91,0.97
EPIC 220674823 b,EPIC 220674823,Transit,0.571,,1.712,7.72,8.5,,,,5496,0.98,0.9
EPIC 220674823 b,EPIC 220674823,Transit,0.571308,,1.46,,,0,,80.2,5590,0.83,0.93
EPIC 220674823 b,EPIC 220674823,Transit,0.571336,,1.8,,,,,,,0.97,
EPIC 220674823 b,EPIC 220674823,Transit,0.571331,0.0134,1.82,,,,2119,,5617,0.98,0.97
EPIC 220674823 b,EPIC 220674823,Transit,0.571292,0.0116,1.52,8.36,13.1,0,2333,86.4,5470,0.87,0.94
EPIC 220674823 c,EPIC 220674823,Transit,13.334615,,2.2,,,,,90.2,5613,0.95,
EPIC 220674823 c,EPIC 220674823,Transit,13.341245,,2.53,,,0,,87.2,5590,0.83,0.93
EPIC 220674823 c,EPIC 220674823,Transit,13.339079,0.1091,2.73,,,,741,,5617,0.98,0.97
EPIC 220674823 c,EPIC 220674823,Transit,13.3387,0.1071,2.77,5.7,1.3,,722,89,5496,0.95,0.92
EPIC 220674823 c,EPIC 220674823,Transit,13.33877,,3.79,,,,,,,1.02,
EPIC 220674823 c,EPIC 220674823,Transit,13.338687,,2.8,,,,,,,0.97,
EPIC 220674823 c,EPIC 220674823,Transit,13.3397,0.1083,2.836,8.9,2.12,0.13,805,89.35,5532,0.99,0.95
EPIC 220674823 c,EPIC 220674823,Transit,13.339746,,2.705,,,,,88.63,5590,0.91,0.97
EPIC 220674823 c,EPIC 220674823,Transit,13.3397,0.105,2.5,5.8,2,0.18,774,89.35,5470,0.87,0.94
EPIC 228836835 b,EPIC 228836835,Transit,0.728113,,1.1,,,,,89.7,3782,0.32,
EPIC 228836835 b,EPIC 228836835,Transit,0.72813,,1.27,,,,932,,3506,0.42,0.42
EPIC 229004835 b,EPIC 229004835,Transit,16.141132,0.1237,2.332,10.4,4.49,0.23,804,88.08,5868,1,0.97
EPIC 229004835 b,EPIC 229004835,Transit,16.13655,,2.02,,,,739,,5886,1,1.07
EPIC 229004835 b,EPIC 229004835,Transit,16.140442,,2.06,,,,,89.442,5870,0.98,
EPIC 246851721 b,EPIC 246851721,Transit,6.180235,0.07229,11.781,953.49,3.1,,1401,86.21,6202,1.59,1.32
EPIC 246851721 b,EPIC 246851721,Transit,6.1802679,,,,,,,86.21,6202,1.59,1.32
EPIC 246851721 b,EPIC 246851721,Transit,6.1802675,,13.274,,,,1330,,6513,1.74,
EPIC 248847494 b,EPIC 248847494,Transit,3650,4.5,12.442,4131.79,,0,183,89.87,4898,2.7,0.9
EPIC 249893012 b,EPIC 249893012,Transit,3.5951,0.047,1.95,8.75,6.39,0.06,1616,86.14,5430,1.71,1.05
EPIC 249893012 c,EPIC 249893012,Transit,15.624,0.13,3.67,14.67,1.62,0.07,990,87.94,5430,1.71,1.05
EPIC 249893012 d,EPIC 249893012,Transit,35.747,0.22,3.94,10.18,0.91,0.15,752,89.47,5430,1.71,1.05
FU Tau b,FU Tau,Imaging,,800,,5085.28,,,2375,,2838,,0.05
FU Tau b,FU Tau,Imaging,,726,,6038.73973,,,2559,,,,
G 196-3 b,G 196-3,Imaging,,350,,8263.53858,,,1670,,,,
G 264-012 b,G 264-012,Radial Velocity,2.30538,0.02279,,,,,587,,3326,0.3,0.3
G 264-012 c,G 264-012,Radial Velocity,8.0518,0.0525,,,,,387,,3326,0.3,0.3
G 9-40 b,G 9-40,Transit,5.746007,0.0385,2.025,11.7,,0,456,88.57,3348,0.31,0.29
G 9-40 b,G 9-40,Transit,5.7459945,,2.061,,,,393,,3413,0.32,
G 9-40 b,G 9-40,Transit,5.745912,,,,,,,,3390,0.31,
G 9-40 b,G 9-40,Transit,5.7459996,,,,,,,88.57,3348,0.31,0.29
GJ 1002 b,GJ 1002,Radial Velocity,10.3465,0.0457,,,,,231,,3024,0.14,0.12
GJ 1002 c,GJ 1002,Radial Velocity,21.202,0.0738,,,,,182,,3024,0.14,0.12
GJ 1061 b,GJ 1061,Radial Velocity,3.204,0.021,,,,0.31,,,2953,0.16,0.12
GJ 1061 c,GJ 1061,Radial Velocity,6.689,0.035,,,,0.29,,,2953,0.16,0.12
GJ 1061 d,GJ 1061,Radial Velocity,13.031,0.054,,,,0.53,,,2953,0.16,0.12
GJ 1132 b,GJ 1132,Transit,1.6289287,0.01533,1.43,1.63,3.1,,644,86.58,,0.26,0.18
GJ 1132 b,GJ 1132,Transit,1.62893,,1.16,1.62,6,0,409,,3270,0.21,0.18
GJ 1132 b,GJ 1132,Transit,1.628931,0.0153,1.13,1.66,6.3,0.22,529,,3270,0.21,0.18
GJ 1132 b,GJ 1132,Transit,,,,1.58,,,,,,,
GJ 1132 b,GJ 1132,Transit,1.6289322,,1.215,,,,546,,3202,0.23,
GJ 1132 b,GJ 1132,Transit,1.6289304,,,,,,,88.6,3270,0.21,0.18
GJ 1132 c,GJ 1132,Radial Velocity,8.929,0.0476,,,,0.27,300,,3270,0.21,0.18
GJ 1148 b,GJ 1148,Radial Velocity,41.397,0.163506,,,,0.314,,,3287,0.36,0.34
GJ 1148 b,GJ 1148,Radial Velocity,41.375,0.1686,,,,0.366,,,3357.57,0.37,0.37
GJ 1148 b,GJ 1148,Radial Velocity,41.38,0.166,,,,0.38,,,3287,0.36,0.34
GJ 1148 c,GJ 1148,Radial Velocity,535.9,0.9302,,,,0.27,,,3357.57,0.37,0.37
GJ 1148 c,GJ 1148,Radial Velocity,532.58,0.912,,,,0.342,,,3287,0.36,0.34
GJ 1151 c,GJ 1151,Radial Velocity,389.7,0.5714,,,,,,,3280,0.18,0.16
GJ 1214 b,GJ 1214,Transit,1.58040454,,,,,,,,3026,0.21,0.16
GJ 1214 b,GJ 1214,Transit,1.58040481,,,,,,,88.94,3026,0.21,
GJ 1214 b,GJ 1214,Transit,1.58040481,,,,,,,88.94,3000,,
GJ 1214 b,GJ 1214,Transit,,,,,,,,89.3,3026,0.2,
GJ 1214 b,GJ 1214,Transit,1.5803925,,2.678,6.55,1.87,0.14,555,88.62,3026,0.21,0.16
GJ 1214 b,GJ 1214,Transit,1.58040457,,,,,,,89.3,3026,0.21,0.16
GJ 1214 b,GJ 1214,Transit,1.58040487,,2.74,6.37,1.68,,547,88.39,2949,0.21,0.15
GJ 1214 b,GJ 1214,Transit,1.58040417,,,,,,604,,3250,0.22,0.18
